Clerks:	 88, 89
Cousin Bette:	 41, 40
Out of Sight:	 93, 74
Slums of Beverly Hills:	 80, 68
The Shining:	 86, 93
The Trigger Effect:	 75, 43
Heathers:	 96, 84
Ulzana's Raid:	 86, 64
Full Metal Jacket:	 93, 94
My Name Is Joe (Mein Name ist Joe):	 88, 86
Armageddon:	 38, 73
Silverado:	 77, 80
Bandwagon:	 80, 91
The Secret Garden:	 85, 79
The Longest Day:	 91, 90
Tarzan:	 88, 75
Barefoot in the Park:	 83, 79
Mulan:	 86, 85
Hercules:	 83, 75
Anastasia:	 85, 77
Life Is Beautiful (La Vita è bella):	 80, 96
Message in a Bottle:	 32, 66
The Prince of Egypt:	 79, 76
Sommersby:	 64, 60
Wild Wild West:	 17, 28
The Iron Giant:	 96, 90
I'll Be Home for Christmas:	 23, 41
Tommy Boy:	 43, 90
Trekkies:	 86, 70
Heat:	 86, 94
Richard Pryor Live on the Sunset Strip:	 100, 86
Hell Night:	 56, 46
Deep Blue Sea:	 57, 38
The Commitments:	 88, 90
Heavy:	 86, 69
Cruel Intentions:	 48, 81
Breakfast at Tiffany's:	 88, 91
American Pie:	 61, 61
Frogs for Snakes:	 27, 17
The Third Man:	 99, 93
Mickey's Once Upon a Christmas:	 40, 66
Wishmaster 2: Evil Never Dies:	 10, 29
Salome's Last Dance:	 43, 84
The Amazing Transparent Man:	 40, 16
The Naked Man:	 20, 31
Pocahontas:	 57, 64
The Sixth Sense:	 85, 90
Steel Magnolias:	 69, 89
Adventures in Babysitting:	 78, 70
Jaws:	 97, 90
Pee-wee's Big Adventure:	 87, 79
The Cider House Rules:	 71, 77
The Mighty Ducks:	 18, 65
Minnie and Moskowitz:	 79, 86
The Addams Family:	 64, 66
Like Water for Chocolate (Como Agua para Chocolate):	 91, 84
The Green Mile:	 80, 94
The Whole Nine Yards:	 45, 64
Scream 3:	 36, 37
The Astronaut's Wife:	 16, 33
Eyes Wide Shut:	 74, 73
The Substitute:	 41, 40
The Game:	 73, 84
Critical Care:	 59, 32
Bad Boys:	 42, 78
Wishmaster:	 23, 38
Lethal Weapon:	 83, 85
Pocahontas II: Journey to a New World:	 29, 29
And God Created Woman:	 38, 30
The Stranger:	 96, 80
Blue Collar:	 100, 88
Immoral Tales:	 33, 40
Entropy:	 40, 74
The Year My Voice Broke:	 94, 84
Let the Devil Wear Black:	 57, 29
Wishful Thinking:	 0, 24
Beach Party:	 43, 42
Chicken Run:	 97, 64
Fantasia 2000:	 82, 75
Bring It On:	 63, 66
Meet the Parents:	 84, 79
Jurassic Park:	 91, 91
Quiz Show:	 96, 87
Battlefield Earth:	 3, 11
The Road to El Dorado:	 48, 65
The Lost World - Jurassic Park:	 53, 51
Empire Records:	 26, 84
The 6th Day:	 41, 32
The Flintstones in Viva Rock Vegas:	 25, 20
On Golden Pond:	 92, 87
Annie:	 54, 69
The Electric Horseman:	 68, 57
Scary Movie:	 53, 43
Beautiful Girls:	 79, 81
54:	 16, 43
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II):	 83, 88
Cruel Intentions 2:	 17, 20
The Art of War:	 16, 36
Young Guns:	 42, 76
The Substitute 2: School's Out:	 0, 27
Touch of Evil:	 96, 92
Head On:	 63, 69
Hellbound: Hellraiser II:	 56, 58
White Christmas:	 76, 88
Destiny (Der müde Tod):	 89, 88
Ghoulies II:	 0, 29
Boricua's Bond:	 11, 48
Terror Tract:	 60, 35
Full Tilt Boogie:	 88, 64
The Emperor's New Groove:	 85, 83
One Magic Christmas:	 47, 70
Forrest Gump:	 72, 95
Chocolat:	 62, 83
Pay It Forward:	 40, 77
The Family Man:	 53, 67
Cool Runnings:	 76, 81
The Other Sister:	 29, 72
Miss Congeniality:	 42, 69
Jaws 2:	 57, 38
The Next Karate Kid:	 7, 24
The Karate Kid, Part III:	 16, 35
Free Willy:	 57, 49
Howards End:	 94, 82
Best in Show:	 94, 89
Lethal Weapon 4:	 52, 64
Kurt & Courtney:	 62, 43
Rounders:	 65, 87
3000 Miles to Graceland:	 14, 46
Proof of Life:	 40, 43
Two Girls and a Guy:	 52, 41
Stripes:	 86, 79
The Way of the Gun:	 48, 70
Hard Core Logo:	 67, 89
The Dunwich Horror:	 17, 30
Scream 2:	 81, 56
Menace II Society:	 83, 93
The Fall of the House of Usher:	 90, 73
Beach Blanket Bingo:	 80, 53
Requiem for a Dream:	 78, 93
The Wolf Man:	 94, 80
Skeletons in the Closet:	 40, 36
The Princess Diaries:	 47, 68
Willy Wonka and the Chocolate Factory:	 91, 86
The Neverending Story:	 82, 81
Shrek:	 88, 90
Dr. Seuss' How the Grinch Stole Christmas:	 53, 55
Jurassic Park III:	 50, 36
Summer Catch:	 8, 40
Toys:	 27, 39
Cats & Dogs:	 53, 32
Merlin:	 82, 73
Someone Like You:	 43, 56
The Godfather:	 98, 98
Amores Perros:	 92, 94
Scary Movie 2:	 15, 52
Memento:	 92, 94
Apocalypse Now:	 96, 94
Swordfish:	 26, 60
Bridget Jones's Diary:	 80, 81
Boys on the Side:	 73, 69
Following:	 79, 85
Angel Eyes:	 33, 45
Rumble in the Bronx:	 79, 64
The Fury:	 80, 49
The Dead Pool:	 57, 44
Pearl Harbor:	 25, 66
The Bride of Frankenstein:	 100, 87
America's Sweethearts:	 32, 40
Dr. Mabuse the Gambler (Dr. Mabuse, der Spieler - Ein Bild der Zeit) (Dr. Mabuse, King of Crime):	 93, 88
Everybody's Famous!:	 54, 64
The Island of Dr. Moreau:	 52, 41
Petits Frères:	 62, n/a
The Intruder:	 57, 22
Old Yeller:	 100, 79
FernGully - The Last Rainforest:	 64, 63
The Parent Trap:	 89, 74
Balto:	 52, 70
The Young Girls of Rochefort (Les Demoiselles de Rochefort):	 98, 84
An Extremely Goofy Movie:	 57, 48
Emma:	 84, 77
The Man from Snowy River:	 82, 89
Strictly Ballroom:	 95, 87
Real Genius:	 73, 83
Ocean's Eleven:	 82, 80
